年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,Gap％,振幅％,MA5,MA10,MA20,MA5差％,MA20差％,週幾,成交量(千股)_log,成交量(千股)_rel20％,收盤價(元)_lag1,收盤價(元)_lag2,收盤價(元)_lag3,收盤價(元)_lag4,收盤價(元)_lag5,成交量(千股)_lag1,成交量(千股)_lag2,成交量(千股)_lag3,成交量(千股)_lag4,成交量(千股)_lag5,報酬率％_lag1,報酬率％_lag2,報酬率％_lag3,報酬率％_lag4,報酬率％_lag5,Gap％_lag1,Gap％_lag2,Gap％_lag3,Gap％_lag4,Gap％_lag5,振幅％_lag1,振幅％_lag2,振幅％_lag3,振幅％_lag4,振幅％_lag5,MA5差％_lag1,MA5差％_lag2,MA5差％_lag3,MA5差％_lag4,MA5差％_lag5,MA20差％_lag1,MA20差％_lag2,MA20差％_lag3,MA20差％_lag4,MA20差％_lag5,成交量(千股)_log_lag1,成交量(千股)_log_lag2,成交量(千股)_log_lag3,成交量(千股)_log_lag4,成交量(千股)_log_lag5,成交量(千股)_rel20％_lag1,成交量(千股)_rel20％_lag2,成交量(千股)_rel20％_lag3,成交量(千股)_rel20％_lag4,成交量(千股)_rel20％_lag5,TSM_ADR_close,TSM_ADR_ret1d
2020-02-06,86.44000244140625,86.79000091552734,85.66000366210938,85.81999969482422,409.3,-0.648295411437505,0.06946653148440785,1.3081700501828342,85.46800079345704,85.02200088500976,82.17550048828124,0.4118487598859577,4.435019178328825,3,6.016888599448141,-39.78668628172122,86.37999725341797,87.11000061035156,84.91000366210938,83.12000274658203,84.79000091552734,381.2,460.0,567.5,926.7,589.8,-0.8380247409237707,2.590974977455951,2.1535140235554806,-1.9695697026929637,1.6301097990852886,1.067616001216365,1.165937841328013,0.012024189732540158,-0.09435290740754665,0.8630003812411191,2.433707647489219,2.143445549792602,2.7430205774272918,2.94846087157216,1.9417417131269024,1.3112479207792793,2.879344901445813,0.9247389613050938,-1.0358354083366605,0.25302678832515024,5.684935239361266,7.264454523849118,5.257942215403055,3.648008757242849,6.177292589122874,5.945944031806173,6.133398042996649,6.343001313190591,6.8327084046592255,6.381477550657225,-47.456926257753274,-36.59545141281875,-21.778084079944872,27.73259820813232,-13.232806178742196,58.02000045776367,
2020-02-07,85.54000091552734,85.56999969482422,83.94000244140625,84.02999877929688,529.4,-2.085761969112776,-0.32626285282282286,1.8993209732163092,85.65,84.82000045776367,82.51050033569337,-1.8914199891455152,1.8415819046320614,4,6.273631438871653,-22.11842589187202,85.81999969482422,86.37999725341797,87.11000061035156,84.91000366210938,83.12000274658203,409.3,381.2,460.0,567.5,926.7,-0.648295411437505,-0.8380247409237707,2.590974977455951,2.1535140235554806,-1.9695697026929637,0.06946653148440785,1.067616001216365,1.165937841328013,0.012024189732540158,-0.09435290740754665,1.3081700501828342,2.433707647489219,2.143445549792602,2.7430205774272918,2.94846087157216,0.4118487598859577,1.3112479207792793,2.879344901445813,0.9247389613050938,-1.0358354083366605,4.435019178328825,5.684935239361266,7.264454523849118,5.257942215403055,3.648008757242849,6.016888599448141,5.945944031806173,6.133398042996649,6.343001313190591,6.8327084046592255,-39.78668628172122,-47.456926257753274,-36.59545141281875,-21.778084079944872,27.73259820813232,56.20000076293945,-0.031368488115561255
2020-02-10,83.66000366210938,85.70999908447266,83.5,85.66000366210938,537.1,1.9397892496626934,-0.4403131293138407,2.630012039244669,85.8,84.96600112915038,82.95600051879883,-0.16316589497741285,3.2595630531847775,0,6.288044416495374,-20.98565649135712,84.02999877929688,85.81999969482422,86.37999725341797,87.11000061035156,84.91000366210938,529.4,409.3,381.2,460.0,567.5,-2.085761969112776,-0.648295411437505,-0.8380247409237707,2.590974977455951,2.1535140235554806,-0.32626285282282286,0.06946653148440785,1.067616001216365,1.165937841328013,0.012024189732540158,1.8993209732163092,1.3081700501828342,2.433707647489219,2.143445549792602,2.7430205774272918,-1.8914199891455152,0.4118487598859577,1.3112479207792793,2.879344901445813,0.9247389613050938,1.8415819046320614,4.435019178328825,5.684935239361266,7.264454523849118,5.257942215403055,6.273631438871653,6.016888599448141,5.945944031806173,6.133398042996649,6.343001313190591,-22.11842589187202,-39.78668628172122,-47.456926257753274,-36.59545141281875,-21.778084079944872,57.02000045776367,0.01459074170271113
2020-02-11,86.54000091552734,86.69000244140625,85.12000274658203,86.08000183105469,380.5,0.49030837145656037,1.0273140506614542,1.8328270227691905,85.59400024414063,85.13300094604492,83.39900054931641,0.5677986605694629,3.2146683582292113,1,5.9441108507245115,-44.02353806546524,85.66000366210938,84.02999877929688,85.81999969482422,86.37999725341797,87.11000061035156,537.1,529.4,409.3,381.2,460.0,1.9397892496626934,-2.085761969112776,-0.648295411437505,-0.8380247409237707,2.590974977455951,-0.4403131293138407,-0.32626285282282286,0.06946653148440785,1.067616001216365,1.165937841328013,2.630012039244669,1.8993209732163092,1.3081700501828342,2.433707647489219,2.143445549792602,-0.16316589497741285,-1.8914199891455152,0.4118487598859577,1.3112479207792793,2.879344901445813,3.2595630531847775,1.8415819046320614,4.435019178328825,5.684935239361266,7.264454523849118,6.288044416495374,6.273631438871653,6.016888599448141,5.945944031806173,6.133398042996649,-20.98565649135712,-22.11842589187202,-39.78668628172122,-47.456926257753274,-36.59545141281875,58.65999984741211,0.028761827016526187
2020-02-12,86.41999816894531,87.2699966430664,85.97000122070312,87.22000122070312,414.1,1.3243487051566971,0.3949771499284216,1.5102176983159494,85.76200103759766,85.51200103759766,83.8615005493164,1.7000538297448076,4.004818241252073,2,6.028519455058993,-36.18431191246725,86.08000183105469,85.66000366210938,84.02999877929688,85.81999969482422,86.37999725341797,380.5,537.1,529.4,409.3,381.2,0.49030837145656037,1.9397892496626934,-2.085761969112776,-0.648295411437505,-0.8380247409237707,1.0273140506614542,-0.4403131293138407,-0.32626285282282286,0.06946653148440785,1.067616001216365,1.8328270227691905,2.630012039244669,1.8993209732163092,1.3081700501828342,2.433707647489219,0.5677986605694629,-0.16316589497741285,-1.8914199891455152,0.4118487598859577,1.3112479207792793,3.2146683582292113,3.2595630531847775,1.8415819046320614,4.435019178328825,5.684935239361266,5.9441108507245115,6.288044416495374,6.273631438871653,6.016888599448141,5.945944031806173,-44.02353806546524,-20.98565649135712,-22.11842589187202,-39.78668628172122,-47.456926257753274,59.630001068115234,0.01653599084940871
2020-02-13,86.44000244140625,87.68000030517578,86.44000244140625,86.94000244140625,468.1,-0.3210258832585411,-0.8942888883057387,1.4216898032732395,85.98600158691406,85.72700119018555,84.25000076293945,1.109483912364384,3.1928803016107565,3,6.150815965334412,-19.104812926639582,87.22000122070312,86.08000183105469,85.66000366210938,84.02999877929688,85.81999969482422,414.1,380.5,537.1,529.4,409.3,1.3243487051566971,0.49030837145656037,1.9397892496626934,-2.085761969112776,-0.648295411437505,0.3949771499284216,1.0273140506614542,-0.4403131293138407,-0.32626285282282286,0.06946653148440785,1.5102176983159494,1.8328270227691905,2.630012039244669,1.8993209732163092,1.3081700501828342,1.7000538297448076,0.5677986605694629,-0.16316589497741285,-1.8914199891455152,0.4118487598859577,4.004818241252073,3.2146683582292113,3.2595630531847775,1.8415819046320614,4.435019178328825,6.028519455058993,5.9441108507245115,6.288044416495374,6.273631438871653,6.016888599448141,-36.18431191246725,-44.02353806546524,-20.98565649135712,-22.11842589187202,-39.78668628172122,59.33000183105469,-0.005031011767346105
2020-02-14,86.88999938964844,87.73999786376953,86.62000274658203,87.3499984741211,362.5,0.47158502553661386,-0.057514435649475004,1.2882391140284677,86.6500015258789,86.15000076293946,84.5765007019043,0.8078441268499326,3.2792770440954744,4,5.895779296973574,-35.33713877987871,86.94000244140625,87.22000122070312,86.08000183105469,85.66000366210938,84.02999877929688,468.1,414.1,380.5,537.1,529.4,-0.3210258832585411,1.3243487051566971,0.49030837145656037,1.9397892496626934,-2.085761969112776,-0.8942888883057387,0.3949771499284216,1.0273140506614542,-0.4403131293138407,-0.32626285282282286,1.4216898032732395,1.5102176983159494,1.8328270227691905,2.630012039244669,1.8993209732163092,1.109483912364384,1.7000538297448076,0.5677986605694629,-0.16316589497741285,-1.8914199891455152,3.1928803016107565,4.004818241252073,3.2146683582292113,3.2595630531847775,1.8415819046320614,6.150815965334412,6.028519455058993,5.9441108507245115,6.288044416495374,6.273631438871653,-19.104812926639582,-36.18431191246725,-44.02353806546524,-20.98565649135712,-22.11842589187202,58.189998626708984,-0.019214616031732468
2020-02-18,87.27999877929688,87.61000061035156,86.5199966430664,87.36000061035156,510.9,0.011450642707711012,-0.08013703039154718,1.2478580267040167,86.99000091552735,86.39500045776367,84.93750076293945,0.4253358902519322,2.85209692497701,1,6.238129293463538,-6.325632563256345,87.3499984741211,86.94000244140625,87.22000122070312,86.08000183105469,85.66000366210938,362.5,468.1,414.1,380.5,537.1,0.47158502553661386,-0.3210258832585411,1.3243487051566971,0.49030837145656037,1.9397892496626934,-0.057514435649475004,-0.8942888883057387,0.3949771499284216,1.0273140506614542,-0.4403131293138407,1.2882391140284677,1.4216898032732395,1.5102176983159494,1.8328270227691905,2.630012039244669,0.8078441268499326,1.109483912364384,1.7000538297448076,0.5677986605694629,-0.16316589497741285,3.2792770440954744,3.1928803016107565,4.004818241252073,3.2146683582292113,3.2595630531847775,5.895779296973574,6.150815965334412,6.028519455058993,5.9441108507245115,6.288044416495374,-35.33713877987871,-19.104812926639582,-36.18431191246725,-44.02353806546524,-20.98565649135712,56.18000030517578,-0.03454198949938836
2020-02-19,87.98999786376953,88.55999755859375,87.45999908447266,88.44999694824219,416.5,1.2477064220183465,0.7211506971341652,1.2591557537040028,87.46399993896485,86.52900009155273,85.41650047302247,1.1273175363182508,3.551417417502134,2,6.0342845442909105,-21.89404594467885,87.36000061035156,87.3499984741211,86.94000244140625,87.22000122070312,86.08000183105469,510.9,362.5,468.1,414.1,380.5,0.011450642707711012,0.47158502553661386,-0.3210258832585411,1.3243487051566971,0.49030837145656037,-0.08013703039154718,-0.057514435649475004,-0.8942888883057387,0.3949771499284216,1.0273140506614542,1.2478580267040167,1.2882391140284677,1.4216898032732395,1.5102176983159494,1.8328270227691905,0.4253358902519322,0.8078441268499326,1.109483912364384,1.7000538297448076,0.5677986605694629,2.85209692497701,3.2792770440954744,3.1928803016107565,4.004818241252073,3.2146683582292113,6.238129293463538,5.895779296973574,6.150815965334412,6.028519455058993,5.9441108507245115,-6.325632563256345,-35.33713877987871,-19.104812926639582,-36.18431191246725,-44.02353806546524,57.63999938964844,0.025987879610925413
2020-02-20,88.30999755859375,89.06999969482422,87.23999786376953,88.37999725341797,420.8,-0.07914041519433423,-0.15828083038867957,2.0689676587841377,87.69599914550781,86.72900009155273,85.83800048828125,0.779965009321848,2.9613886049032034,3,6.0445312680446746,-19.10025954051715,88.44999694824219,87.36000061035156,87.3499984741211,86.94000244140625,87.22000122070312,416.5,510.9,362.5,468.1,414.1,1.2477064220183465,0.011450642707711012,0.47158502553661386,-0.3210258832585411,1.3243487051566971,0.7211506971341652,-0.08013703039154718,-0.057514435649475004,-0.8942888883057387,0.3949771499284216,1.2591557537040028,1.2478580267040167,1.2882391140284677,1.4216898032732395,1.5102176983159494,1.1273175363182508,0.4253358902519322,0.8078441268499326,1.109483912364384,1.7000538297448076,3.551417417502134,2.85209692497701,3.2792770440954744,3.1928803016107565,4.004818241252073,6.0342845442909105,6.238129293463538,5.895779296973574,6.150815965334412,6.028519455058993,-21.89404594467885,-6.325632563256345,-35.33713877987871,-19.104812926639582,-36.18431191246725,56.47999954223633,-0.020124910820530584
